Código;Produto;Pedras;CódigoPedra;CódigoInd;Ref
1;Anel;NA;N;RUF;RUF1N
1;Anel;Pérolas;P;RUF;RUF1P
1;Anel;Zircônias;Z;RUF;RUF1Z
1;Anel;Brilhantes;B;RUF;RUF1B
1;Anel;NA;N;MB;MB1N
1;Anel;Pérolas;P;MB;MB1P
1;Anel;Zircônias;Z;MB;MB1Z
1;Anel;Brilhantes;B;MB;MB1B
1;Anel;NA;N;PE;PE1N
1;Anel;Pérolas;P;PE;PE1P
1;Anel;Zircônias;Z;PE;PE1Z
1;Anel;Brilhantes;B;PE;PE1B
1;Anel;NA;N;FAB;FAB1N
1;Anel;Pérolas;P;FAB;FAB1P
1;Anel;Zircônias;Z;FAB;FAB1Z
1;Anel;Brilhantes;B;FAB;FAB1B
2;Brinco;NA;N;RUF;RUF2N
2;Brinco;Pérolas;P;RUF;RUF2P
2;Brinco;Zircônias;Z;RUF;RUF2Z
2;Brinco;Brilhantes;B;RUF;RUF2B
2;Brinco;NA;N;MB;MB2N
2;Brinco;Pérolas;P;MB;MB2P
2;Brinco;Zircônias;Z;MB;MB2Z
2;Brinco;Brilhantes;B;MB;MB2B
2;Brinco;NA;N;PE;PE2N
2;Brinco;Pérolas;P;PE;PE2P
2;Brinco;Zircônias;Z;PE;PE2Z
2;Brinco;Brilhantes;B;PE;PE2B
2;Brinco;NA;N;FAB;FAB2N
2;Brinco;Pérolas;P;FAB;FAB2P
2;Brinco;Zircônias;Z;FAB;FAB2Z
2;Brinco;Brilhantes;B;FAB;FAB2B
3;Pingente;NA;N;RUF;RUF3N
3;Pingente;Pérolas;P;RUF;RUF3P
3;Pingente;Zircônias;Z;RUF;RUF3Z
3;Pingente;Brilhantes;B;RUF;RUF3B
3;Pingente;NA;N;MB;MB3N
3;Pingente;Pérolas;P;MB;MB3P
3;Pingente;Zircônias;Z;MB;MB3Z
3;Pingente;Brilhantes;B;MB;MB3B
3;Pingente;NA;N;PE;PE3N
3;Pingente;Pérolas;P;PE;PE3P
3;Pingente;Zircônias;Z;PE;PE3Z
3;Pingente;Brilhantes;B;PE;PE3B
3;Pingente;NA;N;FAB;FAB3N
3;Pingente;Pérolas;P;FAB;FAB3P
3;Pingente;Zircônias;Z;FAB;FAB3Z
3;Pingente;Brilhantes;B;FAB;FAB3B
4;Corrente;NA;N;RUF;RUF4N
4;Corrente;NA;N;FAB;FAB4N
5;Pulseira;NA;N;RUF;RUF5N
5;Pulseira;NA;N;FAB;FAB5N
6;Alianças;NA;N;RUF;RUF6N
6;Alianças;Zircônias;Z;RUF;RUF6Z
6;Alianças;Brilhantes;B;RUF;RUF6B
6;Alianças;NA;N;FAB;FAB6N
